Id,Ime_ucenika,Prezime_ucenika,Datum_rodjenja_ucenika,OIB,Ime_oca,Adresa_ucenika,Postanski_broj,Mjesto,Naziv_zupanije,Naziv_skole,Adresa_skole,Broj_razreda,Slovo_razreda,Naziv_predmeta,Broj_sati_tjedno,Ime_nastavnika,Prezime_nastavnika,Datum_rodjenja_nastavnika,Pocetak_rada,Kraj_rada,Naziv_zvanja,Broj_ocjene
478,Timotheus,Monier,2008-07-13,16183095086,Lydon,82 Moose Street,54321,Nanqi,Bjelovarsko-bilogorska,Tehnička škola Sunčev sustav,17 Magdeline Alley,2,I,Sociology,4,Arny,Levy,2026-01-13,2025-12-01,,Predavac,4
479,Taite,Dobel,2012-09-10,28381448566,Sterling,615 Monica Alley,77800,Carthage,Vukovarsko-srijemska,Gimnazija Drvo,0 Randy Center,3,D,Economics,3,Norry,Milkins,2026-02-02,2026-07-12,,Asistent,4
480,Wildon,Udden,2010-04-11,98236117856,Siward,341 Oneill Street,11200,Tegalsari,Međimurska,Osnovna škola Ptica,4318 Emmet Parkway,2,I,Psychology,5,Georgena,Yushkov,2025-12-05,2026-01-02,,Visiting professor,1
481,Mercie,Dawtre,2010-02-15,15773150166,Lorenzo,0 Butterfield Court,99000,Cantuk Kidul,Brodsko-posavska,Tehnička škola Oblak,88 Eagle Crest Pass,2,G,English,2,Obediah,Noke,2026-01-08,2025-09-06,,Docent,4
482,Griffin,Mooney,2008-10-14,86145041827,Alfonse,03 Summerview Alley,55000,Lumsden,Vukovarsko-srijemska,Tehnička škola Val,0303 Armistice Crossing,2,D,Environmental Science,3,Waldo,Couroy,2026-03-02,2026-04-26,,Predavac,3
483,Brigitta,D'eath,2009-05-08,62676993310,Chadwick,0712 Bayside Avenue,12345,Ouyang,Zagrebačka,Osnovna škola Snijeg,762 Prairie Rose Place,3,H,Philosophy,1,Kania,Jannex,2025-09-15,2026-02-16,,Docent,4
484,Albertina,Free,2009-12-05,58946927373,Farrel,0 Dakota Point,44000,Sātkhira,Vukovarsko-srijemska,Gimnazija Jesen,62808 7th Drive,1,E,Criminal Justice,4,Katey,Hovington,2025-10-21,2026-01-26,,Assistant professor,4
485,Zeke,Durno,2009-01-16,41149402079,Sylvan,81489 Mcguire Circle,20000,Chotepe,Pazinska,Gimnazija Drvo,822 Westridge Pass,3,A,Literature,4,Porty,Gentry,2025-08-28,2025-11-17,,Docent,3
486,Eula,Foreman,2012-08-17,42135486974,Sigismond,900 Susan Center,20000,Kajiki,Virovitičko-podravska,Tehnička škola Kiša,0845 Bunker Hill Pass,2,A,Dentistry,5,Lionel,Burkett,2025-11-17,2026-07-22,,Profesor emeritus,5
487,Nick,Dalli,2010-04-27,81214009067,Ruy,8 Sachtjen Alley,66700,Soe,Brodsko-posavska,Tehnička škola Kiša,6099 Norway Maple Alley,4,J,Art,3,Florie,Walwood,2026-05-14,2026-07-21,,Adjunct professor,2
488,Agustin,Iskowicz,2008-04-28,41051995447,Archaimbaud,97 Lillian Center,77800,Gorzkowice,Brodsko-posavska,Gimnazija Drvo,9803 Colorado Lane,4,J,Mathematics,1,Imelda,Syvret,2026-02-03,2026-03-03,,Lecturer,4
489,Chickie,Rannald,2009-03-18,15101717662,Dannel,6216 Northwestern Place,66700,Golopau,Međimurska,Srednja škola More,04 Paget Center,4,E,Engineering,5,Rudie,Alder,2026-03-19,2026-07-09,,Profesor emeritus,4
490,Annabela,Patty,2009-03-04,34367932981,Weston,10 Sloan Park,22300,Badrah,Primorsko-goranska,Srednja škola Zemlja,2323 Northport Plaza,3,D,Political Science,1,Iolanthe,Connachan,2025-09-23,2025-09-10,,Adjunct professor,1
491,Paolo,Dalman,2009-12-10,76787511235,Rickert,2 Sheridan Avenue,66000,Shamkhor,Šibensko-kninska,Osnovna škola Cvijet,59155 Londonderry Park,2,B,Economics,5,Kalle,Russam,2026-01-22,2026-03-31,,Docent,4
492,Damara,Kilshaw,2011-04-26,69016852970,Arie,9330 Browning Parkway,55600,Aurora,Šibensko-kninska,Srednja škola More,26 Morning Place,2,I,Physical Education,5,Odessa,Coutthart,2025-08-29,2026-01-11,,Profesor emeritus,4
493,Federico,Kelston,2011-04-30,61301592143,Vaclav,72563 Mcguire Hill,44000,Kopychyntsi,Bjelovarsko-bilogorska,Osnovna škola Snijeg,81969 Glacier Hill Street,3,I,Accounting,2,Brietta,Gannon,2025-11-21,2026-02-23,,Predavac,2
494,Nevin,Loughren,2008-11-16,11973694315,Westbrook,17 Novick Point,99000,Wuquan,Vukovarsko-srijemska,Tehnička škola Val,6 Londonderry Junction,4,F,Music,5,Merv,Kittredge,2026-02-04,2025-12-08,,Assistant professor,3
495,Renae,Casseldine,2011-08-10,29839537863,Tull,73 Porter Crossing,12345,Muriaé,Osječko-baranjska,Osnovna škola Trava,14 Bunting Way,3,F,Business,2,Dynah,Bonnette,2025-08-03,2026-03-06,,Asistent,5
496,Kassey,Kreutzer,2009-08-05,54206027026,Blane,0 Buhler Parkway,77800,Enzan,Zadarska,Osnovna škola Sunce,190 Roth Drive,2,G,Political Science,2,Demetra,Gully,2026-03-26,2026-02-04,,Predavac,4
497,Dara,Beeble,2010-01-08,46881298823,Baxie,15 Roth Park,55000,Burgas,Koprivničko-križevačka,Srednja škola Zemlja,53 Trailsway Terrace,4,G,Music,3,Neale,Ambroziak,2025-10-18,2026-01-06,,Research professor,2
498,Meridith,Proudlock,2009-10-06,35601843703,Matteo,2 Lakewood Gardens Circle,77800,Yueyahe,Vukovarsko-srijemska,Srednja škola Planeta,59 Roth Crossing,2,G,Dentistry,1,Corabelle,Lotze,2026-02-08,2026-02-23,,Profesor emeritus,1
499,Pen,Questier,2008-10-07,37263820647,Bradan,36216 Bunting Avenue,44500,Lidun,Bjelovarsko-bilogorska,Umjetnička škola Mars,38 Pennsylvania Pass,4,F,Literature,2,Roslyn,Maclean,2026-07-25,2025-12-24,,Profesor emeritus,3
500,Shaylynn,Kensett,2010-12-02,18198144711,Jackie,95 Bunting Court,77000,North Little Rock,Dubrovačko-neretvanska,Osnovna škola Planeta X,9 Hansons Center,4,D,Biology,4,Bernarr,Cregin,2025-08-01,2025-12-25,,Profesor emeritus,3
501,Lesley,Freckleton,2010-08-13,98379185402,Karlik,2211 Waxwing Crossing,54321,Binhe,Zadarska,Srednja škola Otok,6509 Pine View Parkway,1,E,Mathematics,2,Sharona,Alison,2025-10-16,2025-09-14,,Profesor emeritus,4
502,Cathi,Amburgy,2011-07-29,78721430272,Burch,31039 6th Center,35000,Pantai Ceuremen,Virovitičko-podravska,Osnovna škola Trava,78277 Hermina Trail,3,H,English,4,Carlyn,Carloni,2026-02-13,2026-06-05,,Associate professor,5
503,Elston,Itzcovichch,2012-12-20,63731210281,Baillie,985 Warbler Trail,66000,Whakatane,Krapinsko-zagorska,Osnovna škola Crna rupa,2858 Rockefeller Park,3,H,Business,3,Blondie,Pigden,2025-12-24,2025-10-16,,Research professor,2
504,Penrod,Pevie,2010-08-25,82014280614,Elwyn,597 Truax Alley,54321,San José Poaquil,Koprivničko-križevačka,Osnovna škola Trava,302 Forster Trail,2,A,Astronomy,3,Ella,McGeechan,2026-03-28,2025-09-07,,Docent,3
505,Josh,Simmers,2009-07-27,78033734182,Codie,37701 Toban Drive,88900,Huilongshan,Pazinska,Srednja škola Mjesečina,2 Logan Lane,3,J,Political Science,3,Pavel,Fraanchyonok,2025-10-29,2026-05-23,,Research professor,3
506,Dulsea,Gomm,2008-10-03,89090099304,Tobe,8 Farragut Court,99000,Jankovec,Vukovarsko-srijemska,Tehnička škola Jupiter,40231 Lakeland Alley,3,H,Veterinary,2,Ulric,Klain,2025-12-14,2025-12-16,,Profesor emeritus,1
507,Mame,Veysey,2008-02-16,67853776874,Granger,5012 Dryden Point,55600,Wulan Hada,Bjelovarsko-bilogorska,Osnovna škola Trava,8762 Briar Crest Trail,4,J,Nursing,3,Donia,Pergens,2026-04-07,2025-12-09,,Assistant professor,4
508,Hyacinth,Cosson,2008-07-16,71492710493,Howey,78 Carioca Crossing,44000,Białośliwie,Lika-senjska,Osnovna škola Univerzum,594 Florence Circle,4,G,Medicine,2,Amara,Coggon,2025-12-07,2026-01-25,,Asistent,5
509,Jolee,Abramovitch,2008-03-23,77075958845,Salvatore,519 Sage Alley,88000,Promyshlennovskiy,Dubrovačko-neretvanska,Gimnazija Vjetar,24740 Clyde Gallagher Lane,2,J,Chemistry,3,Forrester,Betteridge,2026-06-17,2025-10-27,,Lecturer,4
510,Arny,Truter,2009-10-06,68451872833,Moise,2019 West Drive,77800,Xinying,Dubrovačko-neretvanska,Srednja škola Proljeće,721 Iowa Center,3,J,Criminal Justice,1,Merralee,Pallis,2025-08-02,2025-08-12,,Predavac,4
511,Stanley,Robuchon,2010-10-26,43034761204,Andy,2893 Graceland Plaza,44000,Redakodi,Splitsko-dalmatinska,Osnovna škola Saturn,0068 Crownhardt Lane,1,H,Dentistry,2,Jefferson,Kleyn,2025-09-28,2026-07-17,,Assistant professor,1
512,Gisela,Pagelsen,2012-09-21,15610631377,Kippie,3260 Gateway Drive,22300,Saint Petersburg,Brodsko-posavska,Srednja škola Proljeće,684 Brentwood Lane,4,J,Astronomy,5,Bert,Rosenthaler,2026-04-25,2025-12-01,,Adjunct professor,4
513,Nichole,Queree,2009-06-29,45158195300,Ansel,22 Tennyson Pass,44500,Andong,Koprivničko-križevačka,Osnovna škola Sunčeva svjetlost,88 Cherokee Trail,3,H,Architecture,5,Chantalle,Lynett,2026-03-17,2025-11-26,,Asistent,5
514,Maurie,Doughtery,2010-03-14,18432909928,Shae,1464 Lyons Avenue,55000,Newmarket on Fergus,Krapinsko-zagorska,Srednja škola Planeta,07354 Evergreen Lane,2,E,Dentistry,1,Zarah,Bollans,2025-12-06,2025-08-25,,Assistant professor,5
515,Keefer,Ugo,2012-06-15,35550750386,Germayne,5640 Darwin Road,99000,Gangkou,Dubrovačko-neretvanska,Tehnička škola Kiša,7263 Mcguire Plaza,1,E,Literature,5,Catriona,Fearenside,2025-11-05,2026-04-16,,Asistent,3
516,Dwain,Dobbyn,2012-08-04,69773816114,Weber,379 Summerview Terrace,33400,Baise City,Varaždinska,Tehnička škola Oblak,58364 Vahlen Road,4,H,Psychology,1,Ralf,Hemphill,2025-08-21,2025-12-23,,Predavac,5
517,Fidel,Timny,2008-04-03,36928727476,Tull,278 Sunnyside Pass,12345,Padaimut,Šibensko-kninska,Osnovna škola Voda,45 Gateway Park,3,I,Literature,4,Mata,Hayball,2026-06-16,2025-11-18,,Research professor,5
518,Jobye,Serridge,2011-04-19,91478126409,Caspar,1 Delladonna Avenue,99000,Chishui,Brodsko-posavska,Umjetnička škola Oblak,0822 Melvin Place,2,D,Music,1,Jody,Tother,2025-09-19,2025-10-22,,Visiting professor,4
519,Parry,Mazin,2009-02-20,80683072243,Dane,059 Clemons Alley,33400,Shijing,Dubrovačko-neretvanska,Osnovna škola Planina,4 Ronald Regan Court,2,E,Dentistry,3,Zorah,Antyukhin,2025-11-24,2026-01-13,,Assistant professor,3
520,Cissy,Tompkins,2008-03-07,58853008785,Mar,6 Butternut Alley,55600,Wan’an,Dubrovačko-neretvanska,Tehnička škola Sunčev sustav,428 Holy Cross Crossing,3,I,Business,3,Marquita,Scay,2026-05-14,2025-08-29,,Assistant professor,2
521,Kinna,Habgood,2012-09-04,16100160778,Dukey,64082 Summit Park,55600,Hongxing,Istarska,Srednja škola Ljeto,809 Aberg Pass,1,I,Business,4,Freeland,Dulson,2025-10-09,2025-11-07,,Lecturer,3
522,Stacey,Chillingsworth,2008-03-09,84518779546,Kaspar,88 Bunting Place,66700,Ulbroka,Sisačko-moslavačka,Umjetnička škola Mjesec,37663 Red Cloud Way,2,C,History,1,Buddie,Ghione,2026-07-01,2026-06-09,,Assistant professor,4
523,Jo ann,Rollitt,2011-10-03,76445629308,Rowland,1 Mockingbird Avenue,44000,Pregrada,Pazinska,Gimnazija Vjetar,06 Jackson Hill,1,B,Marketing,5,Vin,Macknish,2025-11-01,2026-07-27,,Docent,2
524,Iorgos,Biddle,2012-04-06,38831416046,Stanislaus,349 Oneill Terrace,99000,Poste de Flacq,Zagrebačka,Srednja škola Brdo,246 Redwing Court,2,D,Criminal Justice,5,Noemi,Maffini,2026-07-14,2026-02-17,,Adjunct professor,3
525,Mano,Ramsdell,2008-07-06,72879764702,Julian,53991 Rutledge Center,35000,Liufeng,Koprivničko-križevačka,Tehnička škola Oblak,0 Pawling Junction,1,I,Chemistry,2,Theodora,Aggas,2026-05-14,2025-11-23,,Assistant professor,1
526,Moises,Hastwell,2010-08-13,29199987247,Micheil,02072 Florence Point,44000,Tebingtinggi,Karlovačka,Osnovna škola Sunčeva svjetlost,77912 Nobel Junction,4,F,Mathematics,2,Zonda,Paolicchi,2026-04-03,2025-11-14,,Associate professor,4
527,Jourdain,Gyenes,2011-04-25,61623914819,Thomas,1507 Oakridge Trail,66700,Tipo-Tipo,Osječko-baranjska,Umjetnička škola Oblak,17 1st Crossing,1,H,Environmental Science,3,Wyatt,Enriquez,2025-12-07,2026-04-21,,Associate professor,5
528,Estevan,Alvares,2012-11-11,85894012921,Guntar,88640 Logan Street,99000,Dezhou,Osječko-baranjska,Tehnička škola Svemir,1 Autumn Leaf Drive,4,H,Anthropology,1,Dani,Robiou,2025-12-29,2026-04-16,,Adjunct professor,4
529,Kissie,Throughton,2009-11-11,98623074009,Conant,71390 Memorial Court,44000,Moshenskoye,Šibensko-kninska,Srednja škola Proljeće,487 West Circle,2,C,Geography,4,Veronique,Wingar,2026-07-29,2026-07-25,,Visiting professor,5
530,Elva,Moff,2010-05-30,43842800610,Wainwright,26670 Oxford Way,22300,Värnamo,Bjelovarsko-bilogorska,Umjetnička škola Nebesko tijelo,18 Memorial Way,4,J,Engineering,4,Saree,Hatwell,2026-02-23,2026-06-10,,Predavac,2
531,Cordie,Cairney,2011-02-05,41068924081,Lewie,108 Steensland Crossing,88000,Hoxtolgay,Istarska,Tehnička škola Svemir,06407 Transport Point,4,F,Computer Science,2,Valentino,Coslett,2025-09-11,2025-11-13,,Predavac,1
532,Jarrett,Grishanin,2010-02-09,94555747448,Weylin,430 Sutherland Point,55600,Kwikila,Zagrebačka,Umjetnička škola Nebesko tijelo,3 Vidon Center,3,I,Anthropology,4,Elfrida,Phaup,2025-09-16,2026-02-14,,Profesor emeritus,5
533,Myrtie,Wetherburn,2012-09-06,55101333327,Kimbell,192 Pankratz Trail,54321,Panjiang,Pazinska,Osnovna škola Sunčeva svjetlost,00 Towne Lane,1,I,Economics,5,Adlai,Durbyn,2026-02-02,2026-05-11,,Profesor emeritus,4
534,Ev,Casey,2009-05-19,86727187823,Carolus,8 Fallview Parkway,77000,Luče,Brodsko-posavska,Osnovna škola Sunce,00 Redwing Avenue,1,H,Economics,1,Dorotea,Childes,2025-10-22,2026-05-03,,Research professor,4
535,Dodie,Zoephel,2012-10-31,32183914378,Andros,36358 Ryan Point,20000,Slavgorod,Varaždinska,Osnovna škola Pustinja,755 Hagan Circle,4,G,Economics,2,Tabby,Noirel,2026-03-19,2026-05-01,,Lecturer,5
536,Murray,Spruce,2009-01-19,97423636607,Benjy,6 Swallow Plaza,12345,Jaguarari,Sisačko-moslavačka,Srednja škola Supernova,95735 Arapahoe Park,4,D,Accounting,1,Karrie,Burrage,2025-12-02,2025-09-20,,Research professor,3
537,Neil,Parradice,2011-05-26,19374981604,Freedman,37553 Thierer Parkway,54321,Boracéia,Vukovarsko-srijemska,Osnovna škola Planina,999 Waxwing Parkway,3,E,Astronomy,4,Duncan,Stinson,2025-11-01,2026-03-03,,Asistent,2
538,Steffi,Renshaw,2010-06-13,41784546592,Oates,02065 Summer Ridge Court,12345,São Félix do Xingu,Splitsko-dalmatinska,Osnovna škola Saturn,65 Melby Park,2,J,Chemistry,3,Whit,Lanegran,2025-08-14,2025-09-10,,Associate professor,2
539,Baxie,Blaver,2008-01-21,46499408832,Sinclare,2 Superior Junction,99000,Xylókastro,Vukovarsko-srijemska,Tehnička škola Svemir,35 Larry Drive,3,H,Law,1,Sadye,D'Elias,2026-02-17,2026-07-27,,Lecturer,3
540,Reinhold,Birth,2008-06-30,54694187453,Alfy,50 Hudson Center,66000,Prior Velho,Karlovačka,Umjetnička škola Oblak,347 Tennessee Terrace,4,I,Mathematics,4,Sasha,Wyllis,2026-04-15,2025-09-25,,Profesor emeritus,4
541,Madeleine,Langhorn,2010-08-11,84608409179,Emery,9030 Sunbrook Crossing,44000,Ambian,Splitsko-dalmatinska,Tehnička škola Jupiter,74 Leroy Court,2,H,Political Science,3,David,Wheatcroft,2026-03-24,2025-10-18,,Lecturer,3
542,Chadwick,Saunter,2008-09-27,80988128252,Fleming,171 Fremont Center,66700,General Conesa,Bjelovarsko-bilogorska,Osnovna škola Zvijezda,70707 Hovde Hill,2,B,Astronomy,5,Lyn,Scandred,2025-10-09,2025-09-27,,Asistent,4
543,Bar,Hurdidge,2009-02-19,45077177254,Zacherie,97 Namekagon Street,11000,Dongshangguan,Karlovačka,Tehnička škola Sunčev sustav,42703 Roth Place,3,I,Biology,1,Debby,Attwoul,2025-08-13,2026-02-02,,Visiting professor,3
544,Leonelle,Halkyard,2010-09-09,10400095078,Ruby,84931 Nelson Drive,88900,Taoyuan,Varaždinska,Osnovna škola Zima,89 Stang Court,4,G,Dentistry,1,Cheslie,Lobell,2026-06-08,2025-10-03,,Docent,3
545,Janos,Rosingdall,2012-03-01,71111038703,Giles,51 Farmco Avenue,55000,Banhā,Vukovarsko-srijemska,Srednja škola Meteor,46821 Starling Point,4,F,Mathematics,2,Demetris,Feares,2026-04-10,2025-09-23,,Predavac,5
546,Corrinne,Pears,2012-11-14,42800599639,Freeland,37186 Johnson Drive,66700,Kunheda Woerzu Manzu,Požeško-slavonska,Umjetnička škola Mjesec,6 Alpine Plaza,3,B,Chemistry,3,Claire,Francecione,2026-06-04,2026-04-16,,Asistent,4
547,Roderich,Dunrige,2012-12-31,32493628191,Barbabas,7381 Schmedeman Plaza,55000,Delft,Varaždinska,Tehnička škola Val,8279 Kenwood Center,1,C,Engineering,2,Earl,Menghi,2025-12-11,2026-03-16,,Docent,3
548,Gilemette,Southby,2009-01-18,66358554199,Tyler,6 Hovde Pass,66000,Marbel,Pazinska,Srednja škola Zemlja,3224 Buhler Place,1,F,Business,1,Vladimir,Poytress,2026-02-04,2025-11-09,,Asistent,3
549,Luella,Ianne,2011-06-21,39608571897,Town,19 Esch Way,77000,Nova Pazova,Sisačko-moslavačka,Gimnazija Komet,620 Chive Alley,3,B,Political Science,2,Tamiko,De Blasiis,2025-11-09,2026-01-28,,Predavac,2
550,Evaleen,McAlinion,2008-03-22,31036646656,Kleon,819 Sunnyside Road,99000,El Progreso,Bjelovarsko-bilogorska,Srednja škola Brdo,4031 Schurz Crossing,4,D,Mathematics,2,Brooke,Truggian,2026-02-24,2026-01-15,,Lecturer,3
551,Henrie,Delete,2011-11-25,65378415935,Arvy,9 Wayridge Avenue,77800,Cimo de Vila,Zagrebačka,Osnovna škola Cvijet,2939 Stoughton Road,2,E,Computer Science,5,Joletta,Nanninini,2026-04-11,2026-03-22,,Lecturer,3
552,Adolf,Onions,2010-06-10,46403330359,Bernarr,8 Tennyson Trail,11000,Rumburk,Šibensko-kninska,Umjetnička škola Nebesko tijelo,30 Bunting Trail,2,E,Nursing,4,Rachael,Woltman,2026-05-25,2025-11-11,,Asistent,5
553,Aindrea,Van Dale,2010-09-25,25522695451,Tye,3306 Daystar Court,66700,Winston Salem,Virovitičko-podravska,Umjetnička škola Sunce,5617 Pleasure Lane,2,D,English,4,Chaddie,Bruhke,2025-08-14,2026-05-22,,Docent,4
554,Jermain,Moore,2010-07-26,29936898702,Nichole,0051 Mayfield Road,77000,Shuibian,Šibensko-kninska,Osnovna škola Asteroid,80 Mockingbird Hill,3,I,Nursing,1,Nerissa,Conway,2026-04-25,2025-11-16,,Predavac,3
555,Paten,Bladen,2009-02-03,24038834222,Murdock,90462 Anzinger Pass,66000,Chang’an,Krapinsko-zagorska,Umjetnička škola Mars,37 7th Way,4,J,Architecture,2,Issi,Housin,2026-01-24,2026-06-26,,Assistant professor,1
556,Minny,Brunet,2011-11-24,76162891422,Jamesy,9106 Harbort Pass,55000,Labuhanlalar,Dubrovačko-neretvanska,Osnovna škola Zvijezda,0 Larry Pass,1,D,Philosophy,3,Violet,Filmer,2025-09-11,2026-05-22,,Adjunct professor,2
557,Zora,Catonne,2012-11-03,65782988798,Jacobo,59943 Badeau Park,77800,Houxiang,Šibensko-kninska,Osnovna škola Pustinja,405 Crownhardt Plaza,2,A,History,3,Caressa,Coaster,2025-08-19,2026-01-12,,Predavac,5
558,Tybie,Kinvig,2008-02-02,47606313850,Patty,67 Summer Ridge Hill,11000,San Matías,Vukovarsko-srijemska,Osnovna škola Snijeg,73 Fair Oaks Terrace,3,D,History,5,Hayley,Moxon,2025-10-24,2026-05-11,,Assistant professor,2
559,Munroe,Mills,2012-11-05,69475486366,Gerek,847 Lukken Circle,20000,Wuyanquan,Vukovarsko-srijemska,Umjetnička škola Nebesko tijelo,1189 Rieder Circle,1,A,Anthropology,5,Sigrid,Basset,2025-12-28,2025-12-18,,Assistant professor,2
560,My,Ellerker,2010-01-17,30082562651,Bailie,11560 Jackson Parkway,66700,Artemisa,Požeško-slavonska,Umjetnička škola Sunce,86138 Manitowish Parkway,4,B,Accounting,2,Nani,Tague,2026-02-11,2025-10-15,,Lecturer,5
561,Jo ann,Danieli,2010-08-12,51424279601,Abner,318 Comanche Lane,20000,Lagoa Santa,Požeško-slavonska,Osnovna škola Voda,9 Waubesa Point,2,A,Criminal Justice,2,Terrill,Whiterod,2026-03-09,2025-11-17,,Predavac,4
562,Estelle,MacKnight,2009-05-18,13588902082,Mike,2 Browning Plaza,66000,Zambujeira,Koprivničko-križevačka,Umjetnička škola Oblak,27568 Lillian Road,4,C,Sociology,2,Saudra,Gyurko,2025-12-30,2025-10-20,,Adjunct professor,3
563,Roma,Boutellier,2011-11-30,71084108537,Brod,803 Stuart Center,33400,Tagbacan Ibaba,Zadarska,Osnovna škola Planeta X,1900 Sherman Street,4,A,Chemistry,1,Faina,Wraxall,2025-11-12,2026-02-13,,Docent,5
564,Paton,Puttergill,2008-06-10,75227614407,Sinclair,75 Lindbergh Crossing,11200,Heping,Međimurska,Tehnička škola Val,1 Autumn Leaf Circle,4,G,History,3,Ellsworth,Loosmore,2025-10-12,2025-11-29,,Adjunct professor,2
565,Carline,Shimwall,2010-07-08,45265780218,Robinson,377 Elgar Court,22300,Karangampel,Brodsko-posavska,Osnovna škola Univerzum,23 Ridgeway Pass,4,E,Economics,5,Blondy,Beyer,2025-10-27,2025-10-12,,Profesor emeritus,3
566,Sibelle,Andreasson,2008-04-21,58147542914,Sutherland,7 Kim Street,11200,Birowo,Vukovarsko-srijemska,Osnovna škola Planeta X,3 Almo Street,1,E,Music,4,Sheri,Gracewood,2026-04-02,2026-06-13,,Predavac,5
567,Ara,Gibb,2010-12-23,65607324826,Alasteir,53 Stang Way,88900,Krasnodon,Međimurska,Srednja škola Otok,6925 Golf View Lane,4,C,Anthropology,5,Rosene,Mossom,2026-01-11,2025-08-10,,Asistent,2
568,Doralia,Mucklestone,2009-12-03,29609362172,Evered,9567 Division Plaza,55600,Velikiye Borki,Šibensko-kninska,Tehnička škola Sunčev sustav,27611 Superior Park,4,J,Sociology,3,Juliane,Bruins,2026-03-30,2025-12-11,,Predavac,2
569,Jedd,Huttley,2010-01-17,75976853792,Maxwell,0481 Merry Circle,11000,Mayo Belwa,Krapinsko-zagorska,Umjetnička škola Oblak,2 Bonner Way,2,B,Marketing,5,Krisha,Dixey,2025-09-23,2026-05-03,,Visiting professor,5
570,Lelah,Mirralls,2008-07-25,52644175041,Ennis,74 Old Gate Terrace,88900,Tršić,Krapinsko-zagorska,Srednja škola Zemlja,74177 Mallard Lane,1,B,Anthropology,4,Dorice,Klemke,2026-04-15,2025-08-28,,Predavac,4
571,Pippy,Melhuish,2010-03-29,98827046399,Donaugh,650 Valley Edge Terrace,20000,Hongping,Šibensko-kninska,Srednja škola Planeta,0 Ronald Regan Street,2,H,Geography,4,Druci,Havick,2026-01-01,2025-11-13,,Visiting professor,2
572,Britte,Empleton,2011-08-21,72800978604,Humberto,1 Nova Lane,35000,Taiping,Primorsko-goranska,Srednja škola Meteor,11937 Wayridge Circle,2,F,Physics,4,Candice,Kale,2026-03-15,2026-02-09,,Visiting professor,5
573,Lynea,Bonefant,2009-02-07,13099238347,Ernst,57 Sauthoff Center,11000,Partido,Primorsko-goranska,Srednja škola Proljeće,3199 Portage Street,3,A,Law,5,Baryram,Petkens,2025-12-09,2025-12-15,,Associate professor,4
574,Lethia,Lere,2010-07-03,90251911976,Herschel,238 Russell Avenue,44000,Sioguí Abajo,Varaždinska,Srednja škola Ljeto,91142 Red Cloud Avenue,3,E,Astronomy,2,Teresina,Samart,2026-05-12,2025-11-10,,Assistant professor,3
575,Delores,Joutapavicius,2012-03-19,63473613182,Shelden,9475 Waywood Drive,66000,Växjö,Krapinsko-zagorska,Osnovna škola Trava,3760 Onsgard Point,2,D,Music,4,Dukie,Yuranovev,2026-03-20,2026-04-18,,Asistent,5
576,Francis,Aucourte,2012-07-22,32329707834,Everard,3 Spaight Plaza,66000,Zhaowanzhuang,Zadarska,Srednja škola Zemlja,3785 Melody Hill,3,E,Criminal Justice,3,Thorsten,Axel,2025-08-09,2026-04-05,,Lecturer,4
577,Clark,Stoffels,2010-08-04,46712272509,Beniamino,672 Paget Parkway,55000,Montluçon,Šibensko-kninska,Gimnazija Jesen,9168 Little Fleur Lane,4,E,Nursing,2,Drusie,Lucken,2026-02-19,2025-11-11,,Visiting professor,4
578,Kimmie,Ceci,2009-08-18,26210229539,Niccolo,2 Dawn Way,20000,Hamm,Karlovačka,Umjetnička škola Sunce,851 Garrison Crossing,4,E,Art,5,Channa,Urey,2025-11-15,2026-04-01,,Docent,4
579,Pernell,Ferronier,2009-09-24,26504361999,Brockie,95 Grim Drive,11000,Motala,Istarska,Srednja škola Proljeće,45094 Shelley Street,3,D,Political Science,4,Tish,Dell Casa,2026-05-15,2026-04-12,,Docent,3
580,Georgeta,Lachaize,2012-08-22,48460742678,Sven,7899 Thierer Pass,20000,Hirado,Koprivničko-križevačka,Tehnička škola Oblak,2509 Upham Crossing,4,J,Veterinary,5,Ethelda,Whistlecroft,2025-11-04,2026-06-29,,Asistent,4
581,Kevan,Veel,2012-05-31,86713441824,Jarrod,16830 Fuller Alley,55600,Erdaojiang,Krapinsko-zagorska,Osnovna škola Cvijet,48346 Lakeland Street,2,J,Engineering,1,Roland,Purchon,2026-05-26,2025-12-19,,Assistant professor,1
582,Richart,Cubbino,2012-01-13,78957203550,Marwin,882 Holmberg Court,35000,Krajan,Karlovačka,Srednja škola More,5 Bonner Circle,2,I,Chemistry,5,Lisabeth,Hadkins,2026-04-19,2025-11-07,,Adjunct professor,3
583,Marty,Hovard,2012-04-09,67103516276,Rad,7 Stuart Park,33400,Waina,Požeško-slavonska,Tehnička škola Svemir,68336 Nobel Center,1,G,Architecture,1,Blaine,Oehme,2025-08-21,2026-06-10,,Adjunct professor,1
584,Cissiee,Timmons,2012-09-12,92174175802,Natale,712 Gale Lane,54321,Xinlong,Požeško-slavonska,Umjetnička škola Mjesec,291 Roth Parkway,1,J,Astronomy,1,Burke,Zuanelli,2026-04-25,2026-01-06,,Asistent,2
585,Whittaker,Quartermaine,2009-06-08,36749794891,Cyrus,1223 Columbus Street,44500,Stockholm,Lika-senjska,Osnovna škola Ptica,3765 Chive Lane,1,I,Literature,1,Lauritz,Dies,2025-10-28,2026-02-05,,Profesor emeritus,5
